,wavelength (nm),excitation spectra (10e6.m²/mol)
0,400.0,1.2374889012151316
1,401.0,1.25264232873432
2,402.0,1.284010175249766
3,403.0,1.3202468581208753
4,404.0,1.3574330914335737
5,405.0,1.3826773564047377
6,406.0,1.4169048676365277
7,407.0,1.4476485570938429
8,408.0,1.439609257197013
9,409.0,1.4811189424581186
10,410.0,1.508694317496061
11,411.0,1.5371816600127557
12,412.0,1.5574097553626982
13,413.0,1.581892432851563
14,414.0,1.602515833179034
15,415.0,1.6221759198781271
16,416.0,1.6429875219332006
17,417.0,1.6507813293395452
18,418.0,1.6523935372197258
19,419.0,1.6679346629020175
20,420.0,1.6735989849321626
21,421.0,1.6754630013583958
22,422.0,1.6849392955148013
23,423.0,1.6974921747760399
24,424.0,1.7250968093388053
25,425.0,1.7266588818510178
26,426.0,1.7429850350686642
27,427.0,1.7480148426939994
28,428.0,1.7795031029872623
29,429.0,1.7979624394912037
30,430.0,1.806619189867554
31,431.0,1.795512651318847
32,432.0,1.803886382580804
33,433.0,1.8177861471111727
34,434.0,1.8214356461811496
35,435.0,1.8229467011810712
36,436.0,1.8172545312657018
37,437.0,1.8029652619126237
38,438.0,1.807456162525348
39,439.0,1.7921255687587736
40,440.0,1.7616306371853359
41,441.0,1.7372700639800505
42,442.0,1.6896268237502303
43,443.0,1.6404401901271648
44,444.0,1.6052031528249782
45,445.0,1.5718719873121803
46,446.0,1.5256408239731072
47,447.0,1.487077143406301
48,448.0,1.4532166384090859
49,449.0,1.4193207101575365
50,450.0,1.3864771676515513
51,451.0,1.35631911542945
52,452.0,1.3363884298003328
53,453.0,1.3066760790497747
54,454.0,1.2855042383095718
55,455.0,1.2858865125273111
56,456.0,1.278288142708359
57,457.0,1.2788028274653338
58,458.0,1.2896038754601558
59,459.0,1.3150703758400004
60,460.0,1.3223770595942281
61,461.0,1.3411689024232651
62,462.0,1.3549092891967593
63,463.0,1.377341358192922
64,464.0,1.3951012281226762
65,465.0,1.3999794782098551
66,466.0,1.4062481881203335
67,467.0,1.417447030902432
68,468.0,1.424990590215311
69,469.0,1.4299951556220212
70,470.0,1.4422666694174286
71,471.0,1.442063992933505
72,472.0,1.441395294351329
73,473.0,1.4501532337255885
74,474.0,1.4366874940203163
75,475.0,1.4142881936489573
76,476.0,1.4017906842429635
77,477.0,1.38908502860448
78,478.0,1.3836077435414305
79,479.0,1.375061392655341
80,480.0,1.3670740280918352
81,481.0,1.363075846511155
82,482.0,1.35415422854416
83,483.0,1.3462352611858164
84,484.0,1.329218773147077
85,485.0,1.3075500535650955
86,486.0,1.2823972211328103
87,487.0,1.246715156856855
88,488.0,1.2298059020245746
89,489.0,1.1951685189768155
90,490.0,1.1755406562114767
91,491.0,1.1409656503734347
92,492.0,1.1100200064038739
93,493.0,1.058787434485705
94,494.0,1.0203819598300878
95,495.0,0.9773398505370233
96,496.0,0.9313036907204248
97,497.0,0.889530807416906
98,498.0,0.8455019418538338
99,499.0,0.8113170967958063
100,500.0,0.7664461201061699
101,501.0,0.7317793156223026
102,502.0,0.6974587874388154
103,503.0,0.6692113737684202
104,504.0,0.641825116499341
105,505.0,0.6142624373780037
106,506.0,0.5895363208112929
107,507.0,0.5595046381315858
108,508.0,0.5301356773416772
109,509.0,0.508314824257232
110,510.0,0.4879106815706509
111,511.0,0.46584798313464987
112,512.0,0.4471780649240707
113,513.0,0.4344480638965467
114,514.0,0.41712823544322736
115,515.0,0.3980692988898573
116,516.0,0.38243828811896086
117,517.0,0.3636738610174945
118,518.0,0.3469663597098121
119,519.0,0.33773890036693566
120,520.0,0.32909701129426533
121,521.0,0.31935709135985724
122,522.0,0.3139004073907651
123,523.0,0.30409217965045415
124,524.0,0.2981315547940125
125,525.0,0.2919206685936823
126,526.0,0.288549531388479
127,527.0,0.2889500916438364
128,528.0,0.2862734806001805
129,529.0,0.2839404045986478
130,530.0,0.27909630348259096
131,531.0,0.27837825148869305
132,532.0,0.2729157574611302
133,533.0,0.2780175366220461
134,534.0,0.2760748394297666
135,535.0,0.277811676056166
136,536.0,0.2716423643057665
137,537.0,0.27180797573659027
138,538.0,0.2730971061548555
139,539.0,0.272405653827022
140,540.0,0.2749481071050315
141,541.0,0.27777245300569425
