,time,fluorescence
0,0.0,14.541787869725967
1,0.3333333333333333,8.41312968953893
2,0.6666666666666666,5.038444024575902
3,1.0,3.0853173254675945
4,1.3333333333333333,1.9613282949108308
5,1.6666666666666667,1.301540751413658
6,2.0,0.9188454898869074
7,2.3333333333333335,0.6927570411048282
8,2.6666666666666665,0.5661904632448891
9,3.0,0.4821032921922575
10,3.3333333333333335,0.42195655719878206
11,3.6666666666666665,0.38322538331883427
12,4.0,0.3512039881470204
13,4.333333333333333,0.32883182905611136
14,4.666666666666667,0.31672228414528053
15,5.0,0.3101620269682471
16,5.333333333333333,0.3001525799260548
17,5.666666666666667,0.2943960009786864
18,6.0,0.2942940544802088
19,6.333333333333333,0.29113711124401914
20,6.666666666666667,0.2735955170726403
21,7.0,0.27918048608090473
22,7.333333333333333,0.2745962918660287
23,7.666666666666667,0.27197796596346235
24,8.0,0.2701989995650283
