"data.0.x","data.0.y","data.1.x","data.1.y"
"800.0","0.06528949081121735","610.0","4.430178787878788"
"799.0","0.01561546938702921","611.0","4.550487121212122"
"798.0","0.07211957709329148","612.0","4.896743939393939"
"797.0","0.06663489089574653","613.0","5.383306060606061"
"796.0","-0.023335010395242727","614.0","5.960319696969696"
"795.0","0.10630511531490587","615.0","6.5920075757575765"
"794.0","0.17302694106059385","616.0","7.385998484848486"
"793.0","0.04531604124752396","617.0","8.180060606060605"
"792.0","0.049153162052731854","618.0","8.930606060606062"
"791.0","0.10129692267249507","619.0","9.954962121212121"
"790.0","0.02321448876745373","620.0","11.062022727272728"
"789.0","0.020987649595454592","621.0","12.109333333333334"
"788.0","0.09078845449683387","622.0","13.367446969696969"
"787.0","0.14155211297679762","623.0","14.757765151515152"
"786.0","0.09858331276285076","624.0","16.299022727272728"
"785.0","0.15952518113938285","625.0","17.683356060606062"
"784.0","0.09555355508437899","626.0","19.410863636363636"
"783.0","0.10885709894578519","627.0","21.150363636363636"
"782.0","0.108305509149082","628.0","23.26046212121212"
"781.0","0.1463559430820597","629.0","25.638431818181818"
"780.0","0.17265902730486468","630.0","27.98860606060606"
"779.0","0.19447829553474585","631.0","30.41077272727273"
"778.0","0.18853924811914963","632.0","32.92399242424243"
"777.0","0.21603642051305116","633.0","35.811795454545454"
"776.0","0.15006379753491594","634.0","38.668977272727275"
"775.0","0.2166032030362683","635.0","41.666924242424244"
"774.0","0.22516424125385356","636.0","44.86084848484849"
"773.0","0.21198799753173966","637.0","48.21513636363636"
"772.0","0.22217554281727375","638.0","51.32960606060606"
"771.0","0.21909122676431186","639.0","54.81445454545455"
"770.0","0.16517587215618706","640.0","58.09378030303031"
"769.0","0.16471232426342386","641.0","61.10114393939394"
"768.0","0.23078849579278665","642.0","64.14774242424242"
"767.0","0.2210566335193921","643.0","67.59237121212122"
"766.0","0.2687221298233322","644.0","70.94268939393939"
"765.0","0.2562333678549104","645.0","73.99332575757576"
"764.0","0.21686819611070313","646.0","76.51515151515152"
"763.0","0.21731722044851545","647.0","78.78787878787878"
"762.0","0.28063769843237535","648.0","81.06060606060606"
"761.0","0.15734737344291252","649.0","84.0909090909091"
"760.0","0.18636828088095025","650.0","86.36363636363636"
"759.0","0.23195166973644793","651.0","88.63636363636364"
"758.0","0.24764072145734878","652.0","90.15151515151516"
