"data.0.x","data.0.y","data.1.x","data.1.y"
"280.0","40.94702065744198","500.0","5.194945414462652"
"281.0","37.1774895827856","501.0","5.053944292916666"
"282.0","37.195970599664754","502.0","4.902294723205894"
"283.0","35.65762794032209","503.0","4.9214025437187345"
"284.0","35.40440851127137","504.0","4.839004213734034"
"285.0","36.11082325812248","505.0","4.624436877619764"
"286.0","36.05890711910317","506.0","4.602111779012638"
"287.0","35.159993536132895","507.0","4.492384748554001"
"288.0","35.80250705702952","508.0","4.409526807412975"
"289.0","36.812210552776065","509.0","4.355962364953685"
"290.0","39.29473951513302","510.0","4.189598920561345"
"291.0","36.20363874677929","511.0","4.137538085733748"
"292.0","35.339545400330124","512.0","4.014365454677838"
"293.0","37.25860855000327","513.0","3.906682193416062"
"294.0","38.303677350430085","514.0","3.8442129822304216"
"295.0","38.14699911121828","515.0","3.769220551599723"
"296.0","38.7049757669109","516.0","3.61540717678872"
"297.0","37.24514216018848","517.0","3.5676913257791787"
"298.0","38.6968446324894","518.0","3.4662515109124477"
"299.0","37.588951917293286","519.0","3.412990317051147"
"300.0","36.89401566461764","520.0","3.3460545067243004"
"301.0","37.15128142317937","521.0","3.1573170017116174"
"302.0","36.68202262609992","522.0","3.141192705165445"
"303.0","39.673568298322856","523.0","3.0103156644168885"
"304.0","39.626525709903184","524.0","2.887443123119404"
"305.0","40.55806643162473","525.0","2.8777691769596134"
"306.0","40.088474181083185","526.0","2.687720753528542"
"307.0","40.44146673352836","527.0","2.652387553603533"
"308.0","41.2849565035609","528.0","2.574571120404066"
"309.0","42.444643519011336","529.0","2.455184358563669"
"310.0","42.83412357528802","530.0","2.3829053711170554"
"311.0","43.120784539045474","531.0","2.3079934908951976"
"312.0","43.106131824413666","532.0","2.2148677417566525"
"313.0","45.15618447158528","533.0","2.2102195093406096"
"314.0","44.57014642454526","534.0","2.1228175774890983"
"315.0","44.284870575168746","535.0","2.0706777716724427"
"316.0","45.89635496890546","536.0","2.1297401743900557"
"317.0","44.84174426940987","537.0","1.9818038205848623"
"318.0","46.0036692705962","538.0","1.9426231540728736"
"319.0","44.74369612642503","539.0","1.9296355852121454"
"320.0","46.41741447880583","540.0","1.87701879462157"
"321.0","45.16979835043137","541.0","1.8168729099340606"
"322.0","46.23792674027438","542.0","1.8087278421224622"
"323.0","48.16583281925924","543.0","1.7445765488698541"
"324.0","46.91930041463655","544.0","1.7324655579876862"
"325.0","49.1639167443656","545.0","1.6044062021287737"
"326.0","50.23187840747757","546.0","1.6434194501439559"
"327.0","49.373075428455635","547.0","1.4861762073361204"
"328.0","50.81011236099159","548.0","1.5092235746091844"
"329.0","50.62405815428379","549.0","1.4641155036003666"
"330.0","50.587237196990195","550.0","1.4116103779883213"
"331.0","51.44737398986046","551.0","1.3786313032471762"
"332.0","52.05048870169895","552.0","1.4304414841554975"
"333.0","52.31446200490176","553.0","1.2465291065743507"
"334.0","53.30640269122594","554.0","1.2535903765320964"
"335.0","52.27403077262449","555.0","1.111975018633205"
"336.0","53.64944294034133","556.0","1.1459222777002196"
"337.0","53.35486886942603","557.0","1.0715088623613054"
"338.0","53.23221570847959","558.0","1.0856334555225122"
"339.0","53.68207007909259","559.0","1.047327945511281"
"340.0","54.40789566497675","560.0","1.0739307446537825"
"341.0","53.26427854137196","561.0","1.0332467863940566"
"342.0","54.61598986301476","562.0","1.0872782632826439"
"343.0","54.52738743060001","563.0","1.0619528988591693"
"344.0","53.53227252381948","564.0","1.0688767592959514"
"345.0","53.96219022494001","565.0","1.0906422694746014"
"346.0","55.25088525481616","566.0","1.1647873413926912"
"347.0","54.37464009470079","567.0","1.114867568020477"
"348.0","53.87315173799793","568.0","1.1929373401528467"
"349.0","53.7649076141533","569.0","1.2593672623237782"
"350.0","53.93056985914156","570.0","1.2321063189584547"
"351.0","53.718095878130455","571.0","1.236408500500439"
"352.0","54.80709075961981","572.0","1.223475263680184"
"353.0","53.47287933216967","573.0","1.2602062501115463"
"354.0","55.88030431475954","574.0","1.1932844966207523"
"355.0","55.7206570572219","575.0","1.2176010856299808"
"356.0","56.750688389022194","576.0","1.2118054047429028"
"357.0","56.434215403241424","577.0","1.1741739910942837"
"358.0","58.359703944626204","578.0","1.0693376339881029"
"359.0","58.47523915667055","579.0","1.1147282631957758"
"360.0","57.42200074642275","580.0","0.9930297046216507"
"361.0","61.26957916890572","581.0","0.9709841633157958"
"362.0","60.233148095660106","582.0","0.9758936317636479"
"363.0","60.07668147114538","583.0","0.9731546019791077"
"364.0","61.436453388977306","584.0","0.9377948678017747"
"365.0","62.908977464958525","585.0","0.9493380572726042"
"366.0","63.08236685267386","586.0","0.9416431240986449"
"367.0","62.34753161074694","587.0","0.915758960956585"
"368.0","62.13562834816132","588.0","0.8869659804035069"
"369.0","63.47212264931341","589.0","0.9055772313371414"
"370.0","63.78058633943766","590.0","0.8553155135822993"
"371.0","64.58698582438032","591.0","0.8626743462268214"
"372.0","66.79406298935898","592.0","0.8433067111599749"
"373.0","65.52514431481085","593.0","0.7666271443190087"
"374.0","66.15601261480097","594.0","0.8460327897023093"
"375.0","66.30529716474781","595.0","0.8160659843678506"
"376.0","66.74859789231762","596.0","0.7714511661566983"
"377.0","68.23336355789714","597.0","0.8097059767929534"
"378.0","68.45196795255727","598.0","0.779516631211325"
"379.0","68.5235963212388","599.0","0.8105051632022356"
"380.0","68.2482407123592","600.0","0.8127398842506419"
"381.0","69.0727043973534","601.0","0.7274914912707837"
"382.0","69.97867180356","602.0","0.7519560719135097"
"383.0","69.60603755968496","603.0","0.8225205991876412"
"384.0","69.96693680672139","604.0","0.7265166733818331"
"385.0","69.24648495163001","605.0","0.8168410056544808"
"386.0","70.01438979940208","606.0","0.7494220508165679"
"387.0","68.28703674015895","607.0","0.7809550088060551"
"388.0","68.42439391626984","608.0","0.8166015656156522"
"389.0","69.10957665517962","609.0","0.8131249467932962"
"390.0","69.13413678517517","610.0","0.797596565330567"
"391.0","69.7259525547024","611.0","0.8150103001861031"
"392.0","67.940886396253","612.0","0.7775197707819661"
"393.0","69.79693966672609","613.0","0.8332854505903002"
"394.0","68.47364242759251","614.0","0.8072700376644234"
"395.0","68.46421595472215","615.0","0.8574592600513089"
"396.0","69.3187545769694","616.0","0.8204670375881375"
"397.0","68.18013925529581","617.0","0.8334565017526031"
"398.0","70.21196097568483","618.0","0.8592841216664964"
"399.0","69.43469378070817","619.0","0.8990551752926941"
"400.0","71.79894295252521","620.0","0.9139224116350171"
"401.0","71.423679556353","621.0","0.8721669749957316"
"402.0","72.89735148175176","622.0","0.8942971732018582"
"403.0","74.67254228767031","623.0","0.9111806968368487"
"404.0","75.93376588232428","624.0","0.9788413029012835"
"405.0","76.75925557797105","625.0","0.9311979472596987"
"406.0","78.48320997692758","626.0","0.9806153071995165"
"407.0","80.484828508732","627.0","0.9309362374019555"
"408.0","79.71596177597314","628.0","1.0365285048154138"
"409.0","82.229495497737","629.0","1.0374401459131168"
"410.0","83.804678352073","630.0","1.0789011787051885"
"411.0","84.64876449079732","631.0","1.12249079553637"
"412.0","85.27835027747176","632.0","1.1574992667543667"
"413.0","86.89425292958104","633.0","1.1934129034489631"
"414.0","86.66417004074545","634.0","1.2248386188353075"
"415.0","86.70809612180798","635.0","1.3292254730717612"
"416.0","86.89386817558633","636.0","1.3776669095287817"
"417.0","87.58212894645379","637.0","1.5197361926727873"
"418.0","87.17685473869432","638.0","1.628405485703961"
"419.0","87.67389277419173","639.0","1.8591523980567453"
"420.0","87.85524015703093","640.0","1.9424225677606624"
"421.0","88.86900280742165","641.0","2.039672181947895"
"422.0","90.12516047447863","642.0","2.333719080291226"
"423.0","90.734803179094","643.0","2.4770735373111865"
"424.0","92.08400718720462","644.0","2.7758507978991824"
"425.0","92.17891317256601","645.0","3.234136821029153"
"426.0","93.09097251702215","646.0","3.4160022705738773"
"427.0","94.0168830052878","647.0","3.8346132688003465"
"428.0","95.39956061093804","648.0","4.205451556905152"
"429.0","96.83533426785803","649.0","4.785627722228707"
"430.0","98.73922528500653","650.0","5.237002204396188"
"431.0","97.0907467946786","651.0","5.812653332046632"
"432.0","98.91518611191981","652.0","6.329576893973076"
"433.0","98.47836207659427","653.0","6.872984166790519"
"434.0","99.04042353719737","654.0","7.495720956957809"
"435.0","100.0","655.0","8.144723498086295"
"436.0","99.78415300896862","656.0","9.186429814770387"
"437.0","97.22566719548966","657.0","10.349511382799392"
"438.0","96.78768889817998","658.0","11.629152551260464"
"439.0","96.75049601202484","659.0","12.801789608965672"
"440.0","94.46717343042815","660.0","14.278984603658031"
"441.0","93.2117211456948","661.0","16.465166923348704"
"442.0","90.78841223569005","662.0","18.580704955066295"
"443.0","86.65019064560437","663.0","21.280217656681206"
"444.0","84.80959166058541","664.0","23.887302712700855"
"445.0","82.97175007919519","665.0","26.922615853994643"
"446.0","78.0435644123075","666.0","30.410416968401655"
"447.0","77.74717558505051","667.0","33.92385206585738"
"448.0","75.43108478823781","668.0","38.065943618820306"
"449.0","73.98331963181607","669.0","41.808236642570506"
"450.0","71.066820226261","670.0","45.71054068435311"
"451.0","70.87995803616431","671.0","50.60855833879154"
"452.0","69.84330252308844","672.0","55.1798098346995"
"453.0","69.5874411166074","673.0","61.37069313942691"
"454.0","68.33769601612889","674.0","67.02877497516756"
"455.0","69.79835043137335","675.0","72.87177527889"
"456.0","68.89462742346922","676.0","78.84815758313394"
"457.0","69.24930648092453","677.0","83.90454365903233"
"458.0","70.11365633003685","678.0","89.77284626764943"
"459.0","71.77976937845557","679.0","95.00287375429187"
"460.0","71.16878003485871","680.0","97.45515987755707"
"461.0","71.13703783029527","681.0","99.6008806212932"
"462.0","73.05747326921622","682.0","100.0"
"463.0","74.2288568061058","683.0","98.2880984875634"
"464.0","75.65565286981592","684.0","93.9577400966826"
"465.0","77.31092868071703","685.0","90.68322382952753"
"466.0","78.52950870762415","686.0","83.77571038748064"
"467.0","78.96639686861549","687.0","78.26983723605329"
"468.0","79.38327782188198","688.0","71.855924064024"
"469.0","80.35875744979923","689.0","65.13389768108007"
"470.0","82.5712852963696","690.0","58.28861337841208"
"471.0","82.20121607912594","691.0","53.664656644405795"
"472.0","82.73480574412065","692.0","47.28484314545239"
"473.0","82.79232646632954","693.0","43.62515377625844"
"474.0","82.23629281831019","694.0","40.005328962341736"
"475.0","81.13262598448928","695.0","36.486823927388386"
"476.0","81.76772657842119","696.0","33.29915995400098"
"477.0","81.02117557735544","697.0","30.671384498847733"
"478.0","80.31508787139983","698.0","29.21738644248172"
"479.0","79.81849871556291","699.0","27.39870035863885"
"480.0","80.04351567680152","700.0","25.755645754464346"
"481.0","78.58664467583834","701.0","24.526841370500453"
"482.0","77.18376748546592","702.0","23.16004308025395"
"483.0","76.44221828633135","703.0","22.297695673921837"
"484.0","74.85914797510385","704.0","20.60274133573742"
"485.0","72.50259388318099","705.0","19.914303841512172"
"486.0","71.51339136278582","706.0","19.303589594719302"
"487.0","67.48687668249715","707.0","18.773046696019655"
"488.0","65.98050066754818","708.0","18.125468791533805"
"489.0","62.98699274995222","709.0","17.71019194846543"
"490.0","60.46408385585064","710.0","17.63951291325716"
"491.0","56.72217811801431","711.0","16.972855617814528"
"492.0","54.34177569098612","712.0","16.873257406412666"
"493.0","51.37564302011366","713.0","16.508506202144567"
"494.0","47.93995657409913","714.0","15.985370782218702"
"495.0","45.346778775430636","715.0","15.924263030884447"
"496.0","42.168043872215506","716.0","15.653498359535645"
"497.0","40.254585305731936","717.0","15.947054058327026"
"498.0","37.12577223333021","718.0","15.98851382758327"
"499.0","35.70955690447456","719.0","15.682087436994967"
"500.0","33.20133920040425","720.0","15.987897853868605"
"501.0","31.295402574517233","721.0","15.79280160481685"
"502.0","28.84448115282557","722.0","16.07146495449139"
"503.0","27.360183604606274","723.0","15.972545893595436"
"504.0","26.036225871115104","724.0","15.691759803734978"
"505.0","24.37889803890889","725.0","15.507414665133787"
"506.0","22.96762679888524","726.0","15.954524713892054"
"507.0","21.83023627742815","727.0","15.923978735323832"
"508.0","19.641357976399192","728.0","15.518159457905224"
"509.0","18.967070188106227","729.0","15.318896699470688"
"510.0","18.64112584148905","730.0","15.678486359893856"
"511.0","16.707692130113543","731.0","15.846887255803935"
"512.0","16.330049671740717","732.0","16.303592279732932"
"513.0","15.325963584316915","733.0","15.719685524886206"
"514.0","14.403220903941033","734.0","15.510638260907198"
"515.0","13.525609867144444","735.0","15.819515910995904"
"516.0","13.276526543536841","736.0","15.887257225411158"
"517.0","12.747810429141781","737.0","15.624844525865289"
"518.0","11.931099537140945","738.0","14.741813038078705"
"519.0","11.602859491688672","739.0","15.239612985294496"
"520.0","10.831216117601342","740.0","14.37835221977184"
"521.0","10.005065927596993","741.0","15.063839357845824"
"522.0","9.830573578430178","742.0","14.459872392358196"
"523.0","9.348483235627194","743.0","14.047493784588305"
"524.0","9.042449908236172","744.0","13.5585370087274"
"525.0","9.034331598947826","745.0","13.756664164339258"
"526.0","8.732767830462","746.0","13.522335127922736"
"527.0","8.545033531310638","747.0","13.504903071797738"
"528.0","8.32181208871401","748.0","12.994284553637806"
"529.0","7.887431241254863","749.0","12.430768108166246"
"530.0","8.021659084875449","750.0","12.172122324798519"
"531.0","7.866769951739023","751.0","12.566459220407872"
"532.0","7.761398657721563","752.0","11.543794388605813"
"533.0","8.113974393339138","753.0","11.468244422792354"
"534.0","7.839612732279193","754.0","10.666570427354667"
"535.0","7.898185115406961","755.0","10.614583825256785"
"536.0","7.498496253137348","756.0","10.306219486596964"
"537.0","7.293505737323318","757.0","9.817354317083367"
"538.0","7.731266007369323","758.0","10.005033610842654"
"539.0","7.80893501376778","759.0","9.433904362025757"
"540.0","7.71527306632261","760.0","9.126724588201828"
"541.0","8.018407913620164","761.0","9.213049355762568"
"542.0","7.505223035478166","762.0","8.396762568509306"
"543.0","7.997009178947801","763.0","8.625236695796959"
"544.0","7.404385426031686","764.0","8.054988763217965"
"545.0","7.647030532794506","765.0","7.912529837213941"
"546.0","7.824818941182657","766.0","7.971518007201837"
"547.0","7.539357127375375","767.0","7.4953103078147"
"548.0","7.536548423214004","768.0","7.533230597341299"
"549.0","7.174854017921841","769.0","7.37912976813012"
"550.0","7.629524226035277","770.0","7.198126681785926"
"551.0","7.3837690244818965","771.0","6.991268493623645"
"552.0","7.953737179676268","772.0","6.693067721255784"
"553.0","7.575055885517731","773.0","6.951974108887411"
"554.0","7.315231512891182","774.0","6.363095340569498"
"555.0","7.354008302991205","775.0","6.332258748761537"
"556.0","7.520754271731227","776.0","6.179138739234476"
"557.0","7.8542333840781104","777.0","6.216488858220067"
"558.0","7.625471483957683","778.0","6.319549157782298"
"559.0","7.855464596861177","779.0","6.188727396726084"
"560.0","8.295180699713613","780.0","5.723095492193797"
"561.0","7.9395654075378435","781.0","5.9661666170992085"
"562.0","8.121303956938334","782.0","6.416419711222046"
"563.0","8.30427371912189","783.0","5.988498033385459"
"564.0","8.69300350510889","784.0","6.317753357491085"
"565.0","9.019191529256053","785.0","5.7418100371811205"
"566.0","9.068626005009497","786.0","6.067704355992374"
"567.0","9.252179310751695","787.0","6.073472397033281"
"568.0","9.23308910004758","788.0","5.536671837160557"
"569.0","9.178454032798996","789.0","5.627117310930422"
"570.0","10.23484101323682","790.0","5.9974896701997755"
"571.0","9.825597426765285","791.0","5.904158596489676"
"572.0","10.054263138387034","792.0","5.429309198114361"
"573.0","10.349997883853028","793.0","6.1597766321368645"
"574.0","10.027509910621646","794.0","5.5568868309400115"
"575.0","10.40939748806942","795.0","5.972718050351586"
"576.0","10.293131243435134","796.0","5.660507824524568"
"577.0","10.902280180423972","797.0","5.8776275030052405"
"578.0","10.849055877822652","798.0","5.4543335251275415"
"579.0","10.781999669111565","799.0","5.607068156227991"
"580.0","10.906845927827845","800.0","5.833312142784602"
"581.0","11.67242942649852","None","None"
"582.0","11.552161740319269","None","None"
"583.0","11.310619595007946","None","None"
"584.0","11.482348127979439","None","None"
"585.0","11.864402432158252","None","None"
"586.0","12.602623509238587","None","None"
"587.0","12.03413665692384","None","None"
"588.0","12.39345200001539","None","None"
"589.0","12.59453085021655","None","None"
"590.0","13.467377350045338","None","None"
"591.0","13.022101551969364","None","None"
"592.0","12.936974730640141","None","None"
"593.0","13.437796180418843","None","None"
"594.0","13.793635912424861","None","None"
"595.0","13.994419784563414","None","None"
"596.0","13.890658044757151","None","None"
"597.0","13.4650944763434","None","None"
"598.0","14.038281739960166","None","None"
"599.0","14.344956324009035","None","None"
"600.0","14.524931417600442","None","None"
"601.0","14.092480752681416","None","None"
"602.0","14.889319100855566","None","None"
"603.0","14.811361528961076","None","None"
"604.0","15.322212232868507","None","None"
"605.0","15.176185266743532","None","None"
"606.0","14.749409723246451","None","None"
"607.0","15.184983308089194","None","None"
"608.0","15.643526706416031","None","None"
"609.0","14.986443834253107","None","None"
"610.0","15.631977674008201","None","None"
"611.0","15.229313380846177","None","None"
"612.0","15.827028711625598","None","None"
"613.0","16.355366484592526","None","None"
"614.0","16.897125759408198","None","None"
